company,ISIN,yf_ticker,sector,industry
PKOBP,PLPKO0000016,PKO.WA,Financial Services,Banks - Regional
PKNORLEN,PLPKN0000018,PKN.WA,Energy,Oil & Gas Integrated
PEKAO,PLPEKAO00016,PEO.WA,Financial Services,Banks - Regional
PZU,PLPZU0000011,PZU.WA,Financial Services,Insurance - Property & Casualty
KGHM,PLKGHM000017,KGH.WA,Basic Materials,Copper
ALLEGRO,LU2237380790,ALE.WA,Consumer Cyclical,Internet Retail
LPP,PLLPP0000011,LPP.WA,Consumer Cyclical,Apparel Manufacturing
DINOPL,PLDINPL00011,DNP.WA,Consumer Defensive,Grocery Stores
SANPL,PLBZ00000044,SPL.WA,Financial Services,Banks - Regional
CDPROJEKT,PLOPTTC00011,CDR.WA,Communication Services,Electronic Gaming & Multimedia
MBANK,PLBRE0000012,MBK.WA,Financial Services,Banks - Regional
ASSECOPOL,PLSOFTB00016,ACP.WA,Technology,Software - Application
INGBSK,PLBSK0000017,ING.WA,Financial Services,Banks - Regional
BENEFIT,PLBNFTS00018,BFT.WA,Consumer Cyclical,Leisure
ALIOR,PLALIOR00045,ALR.WA,Financial Services,Banks - Diversified
MILLENNIUM,PLBIG0000016,MIL.WA,Financial Services,Banks - Regional
PGE,PLPGER000010,PGE.WA,Utilities,Utilities - Regulated Electric
ZABKA,LU2910446546,ZAB.WA,Consumer Defensive,Grocery Stores
TAURONPE,PLTAURN00011,TPE.WA,Utilities,Utilities - Renewable
KETY,PLKETY000011,KTY.WA,Basic Materials,Aluminum
CCC,PLCCC0000016,CCC.WA,Consumer Cyclical,Apparel Retail
KRUK,PLKRK0000010,KRU.WA,Financial Services,Credit Services
BUDIMEX,PLBUDMX00013,BDX.WA,Industrials,Engineering & Construction
ORANGEPL,PLTLKPL00017,OPL.WA,Communication Services,Telecom Services
XTB,PLXTRDM00011,XTB.WA,Financial Services,Capital Markets
INTERCARS,PLINTCS00010,CAR.WA,Consumer Cyclical,Auto Parts
ENEA,PLENEA000013,ENA.WA,Utilities,Utilities - Regulated Electric
PEPCO,NL0015000AU7,PCO.WA,Consumer Defensive,Discount Stores
DEVELIA,PLLCCRP00017,DVL.WA,Real Estate,Real Estate - Development
CYFRPLSAT,PLCFRPT00013,CPS.WA,Communication Services,Entertainment
HANDLOWY,PLBH00000012,BHW.WA,Financial Services,Banks - Regional
DIAG,PLDGNST00012,DIA.WA,Healthcare,Diagnostics & Research
BNPPPL,PLBGZ0000010,BNP.WA,Financial Services,Banks - Regional
DOMDEV,PLDMDVL00012,DOM.WA,Real Estate,Real Estate - Development
NEWAG,PLNEWAG00012,NWG.WA,Industrials,Railroads
ASSECOSEE,PLASSEE00014,ASE.WA,Technology,Software - Application
RAINBOW,PLRNBWT00031,RBW.WA,Consumer Cyclical,Travel Services
