Nazwa,Sector,Pakiet,Ticker
ALIOR,WIG-BANKI,88895000,ALR
BNPPPL,WIG-BANKI,18685000,BNP
BOS,WIG-BANKI,25847000,BOS
GETIN,WIG-BANKI,85457000,GTN
HANDLOWY,WIG-BANKI,32664000,BHW
INGBSK,WIG-BANKI,32525000,ING
MBANK,WIG-BANKI,13080000,MBK
MILLENNIUM,WIG-BANKI,605345000,MIL
PEKAO,WIG-BANKI,176379000,PEO
PKOBP,WIG-BANKI,857593000,PKO
SANPL,WIG-BANKI,33308000,SPL
SANTANDER,WIG-BANKI,1124000,SAN
UNICREDIT,WIG-BANKI,3075000,UCG
ATREM,WIG-BUDOW,2098000,ATR
BUDIMEX,WIG-BUDOW,12728000,BDX
COMPREMUM,WIG-BUDOW,21573000,CPR
DBENERGY,WIG-BUDOW,533000,DBE
DECORA,WIG-BUDOW,4964000,DCR
DEKPOL,WIG-BUDOW,1216000,DEK
ELEKTROTI,WIG-BUDOW,6333000,ELT
ERBUD,WIG-BUDOW,5521000,ERB
FERRO,WIG-BUDOW,21242000,FRO
INSTALKRK,WIG-BUDOW,3897000,INK
LENTEX,WIG-BUDOW,10372000,LTX
LIBET,WIG-BUDOW,17683000,LBT
MDIENERGIA,WIG-BUDOW,7246000,MDI
MERCOR,WIG-BUDOW,6501000,MCR
MFO,WIG-BUDOW,2506000,MFO
MIRBUD,WIG-BUDOW,50144000,MRB
MOSTALPLC,WIG-BUDOW,1026000,MSP
MOSTALWAR,WIG-BUDOW,7573000,MSW
MOSTALZAB,WIG-BUDOW,43818000,MSZ
PANOVA,WIG-BUDOW,5196000,NVA
PEKABEX,WIG-BUDOW,9364000,PBX
PJPMAKRUM,WIG-BUDOW,2050000,PJP
POLIMEXMS,WIG-BUDOW,85118000,PXM
PROCHEM,WIG-BUDOW,1005000,PRM
REMAK,WIG-BUDOW,1252000,RMK
RESBUD,WIG-BUDOW,10451000,RES
ROPCZYCE,WIG-BUDOW,1165000,RPC
SELENAFM,WIG-BUDOW,5021000,SEL
SNIEZKA,WIG-BUDOW,4992000,SKA
TESGAS,WIG-BUDOW,5063000,TSG
TORPOL,WIG-BUDOW,14241000,TOR
ULMA,WIG-BUDOW,1288000,ULM
UNIBEP,WIG-BUDOW,12870000,UNI
ZUE,WIG-BUDOW,8629000,ZUE
CIECH,WIG-CHEMIA,22018000,CIE
GRUPAAZOTY,WIG-CHEMIA,46803000,ATT
PCCROKITA,WIG-CHEMIA,3124000,PCR
POLICE,WIG-CHEMIA,20551000,PCE
POLWAX,WIG-CHEMIA,15534000,PWX
ALTA,WIG-NRCHOM,7451000,AAT
ARCHICOM,WIG-NRCHOM,5188000,ARH
ATAL,WIG-NRCHOM,6449000,1AT
BBIDEV,WIG-NRCHOM,6461000,BBD
CAVATINA,WIG-NRCHOM,6217000,CAV
CELTIC,WIG-NRCHOM,2200000,CPD
DEVELIA,WIG-NRCHOM,447558000,DVL
DOMDEV,WIG-NRCHOM,10103000,DOM
ECHO,WIG-NRCHOM,140314000,ECH
ELKOP,WIG-NRCHOM,22447000,EKP
GTC,WIG-NRCHOM,214726000,GTC
IBSM,WIG-NRCHOM,122000,IBS
IIAAV,WIG-NRCHOM,49000,IIA
