Ticker,Nazwa,Pakiet,Sector,Industry
06N,06MAGNA,10336000,Financial Services,Asset Management
11B,11BIT,2248000,Communication Services,Electronic Gaming & Multimedia
3RG,3RGAMES,21824000,Consumer Cyclical,Internet Retail
ABE,ABPL,12929000,Technology,Electronics<br>& Computer Distribution
ACG,ACAUTOGAZ,7874000,Consumer Cyclical,Auto Parts
ACT,ACTION,8086000,Technology,Computer Hardware
AGO,AGORA,35823000,Communication Services,Publishing
AGT,AGROTON,3163000,Consumer Defensive,Farm Products
ALG,AIGAMES,4308000,Communication Services,Electronic Gaming & Multimedia
ALL,AILLERON,6551000,Technology,Software<br>Infrastructure
AWM,AIRWAY,36249000,Healthcare,Medical Instruments<br>& Supplies
ALR,ALIOR,88895000,Financial Services,Banks—Diversified
ALE,ALLEGRO,467319000,Consumer Cyclical,Internet Retail
AAT,ALTA,7451000,Financial Services,Asset Management
ALI,ALTUS,22765000,Financial Services,Asset Management
AMB,AMBRA,9800000,Consumer Defensive,Beverages—Wineries & Distilleries
AMC,AMICA,5058000,Consumer Cyclical,"Furnishings, Fixtures<br>& Appliances"
EAT,AMREST,60984000,Consumer Cyclical,Restaurants
ANR,ANSWEAR,2888000,Consumer Cyclical,Internet Retail
APT,APATOR,20946000,Industrials,Electrical Equipment<br>& Parts
APN,APLISENS,1943000,Technology,Scientific & Technical<br>Instruments
APE,APSENERGY,4515000,Industrials,Specialty<br>Industrial Machinery
ARH,ARCHICOM,5188000,Real Estate,Development
ATC,ARCTIC,22082000,Basic Materials,Paper<br>& Paper Products
ART,ARTIFEX,6549000,Communication Services,Electronic Gaming & Multimedia
ASB,ASBIS,35051000,Technology,Electronics<br>& Computer Distribution
ABS,ASSECOBS,17889000,Technology,Software—Application
ACP,ASSECOPOL,55869000,Technology,Software—Application
ASE,ASSECOSEE,25487000,Technology,Software—Application
AST,ASTARTA,7522000,Consumer Defensive,Farm Products
1AT,ATAL,6449000,Real Estate,Development
ATD,ATENDE,24386000,Technology,Information Technology<br>Services
ATP,ATLANTAPL,1747000,Consumer Defensive,Food Distribution
ATG,ATMGRUPA,35882000,Communication Services,Entertainment
ATR,ATREM,2098000,Industrials,Engineering & Construction
APR,AUTOPARTN,68675000,Consumer Cyclical,Auto Parts
BBD,BBIDEV,6461000,Real Estate,Development
BFT,BENEFIT,1963000,Consumer Cyclical,Leisure
BCM,BETACOM,1500000,Technology,Information Technology<br>Services
BCS,BIGCHEESE,1932000,Communication Services,Electronic Gaming & Multimedia
BCX,BIOCELTIX,2265000,Healthcare,Biotechnology
BMX,BIOMAXIMA,2988000,Healthcare,Diagnostics & Research
BIO,BIOTON,38904000,Healthcare,Biotechnology
BNP,BNPPPL,18685000,Financial Services,Banks—Regional
LWB,BOGDANKA,12051000,Energy,Thermal Coal
BBT,BOOMBIT,2108000,Communication Services,Electronic Gaming & Multimedia
BRS,BORYSZEW,46167000,Industrials,Conglomerates
BOS,BOS,25847000,Financial Services,Banks—Regional
BOW,BOWIM,4647000,Basic Materials,Steel
B24,BRAND24,928000,Technology,Software—Application
BDX,BUDIMEX,12728000,Industrials,Engineering & Construction
BMC,BUMECH,6446000,Industrials,Specialty<br>Industrial Machinery
CTX,CAPTORTX,2320000,Healthcare,Biotechnology
CSR,CASPAR,1533000,Financial Services,Asset Management
CAV,CAVATINA,6217000,Real Estate,Development
CCC,CCC,45912000,Consumer Cyclical,Apparel Retail
CDR,CDPROJEKT,69744000,Communication Services,Electronic Gaming & Multimedia
CDL,CDRL,1020000,Consumer Cyclical,Apparel Retail
CPD,CELTIC,2200000,Real Estate,Diversified
CEZ,CEZ,4014000,Utilities,Renewable
CIE,CIECH,22018000,Basic Materials,Chemicals
CIG,CIGAMES,93240000,Communication Services,Electronic Gaming & Multimedia
CTS,CITYSERV,4796000,Industrials,Specialty<br>Business Services
CLN,CLNPHARMA,21031000,Healthcare,Drug Manufacturers<br>Specialty & Generic
CLD,CLOUD,1390000,Technology,Software<br>Infrastructure
CLE,COALENERG,11252000,Energy,Thermal Coal
COG,COGNOR,40945000,Basic Materials,Steel
CLC,COLUMBUS,18155000,Technology,Solar
CMR,COMARCH,5290000,Technology,Information Technology<br>Services
CMP,COMP,3486000,Technology,Information Technology<br>Services
CPL,COMPERIA,1431000,Communication Services,Internet Content & Information
CPR,COMPREMUM,21573000,Industrials,Engineering & Construction
CRM,CORMAY,68205000,Technology,Scientific & Technical<br>Instruments
CRJ,CREEPYJAR,370000,Communication Services,Electronic Gaming & Multimedia
CRI,CREOTECH,795000,Industrials,Aerospace<br>& Defense
CBF,CYBERFLKS,6107000,Technology,Information Technology<br>Services
CPS,CYFRPLSAT,242743000,Communication Services,Entertainment
DAD,DADELO,4737000,Consumer Cyclical,Specialty Retail
DAT,DATAWALK,3957000,Technology,Software<br>Infrastructure
DBE,DBENERGY,533000,Industrials,Specialty<br>Industrial Machinery
DCR,DECORA,4964000,Consumer Cyclical,"Furnishings, Fixtures<br>& Appliances"
DEK,DEKPOL,1216000,Industrials,Engineering & Construction
DEL,DELKO,5198000,Consumer Defensive,Household & Personal Products
DVL,DEVELIA,447558000,Real Estate,Development
DIG,DIGITANET,1238000,Communication Services,Broadcasting
DNP,DINOPL,47880000,Consumer Defensive,Grocery Stores
DOM,DOMDEV,10103000,Real Estate,Development
DPL,DROZAPOL,2184000,Industrials,Industrial Distribution
ECH,ECHO,140314000,Real Estate,Diversified
ELT,ELEKTROTI,6333000,Industrials,Electrical Equipment<br>& Parts
EKP,ELKOP,22447000,Real Estate,Services
ELZ,ELZAB,3484000,Industrials,Business Equipment & Supplies
ENA,ENEA,252715000,Utilities,Regulated Electric
ENE,ENELMED,13672000,Healthcare,Medical Care<br>Facilities
ENT,ENTER,8507000,Industrials,Airlines
ERB,ERBUD,5521000,Industrials,Engineering & Construction
ERG,ERG,351000,Consumer Cyclical,Auto Parts
EAH,ESOTIQ,972000,Consumer Cyclical,Apparel Manufacturing
EUR,EUROCASH,77875000,Consumer Defensive,Grocery Stores
EHG,EUROHOLD,666000,Financial Services,Insurance—Diversified
ETL,EUROTEL,1533000,Communication Services,Telecom Services
FSG,FASING,913000,Industrials,Metal<br>Fabrication
FEE,FEERUM,2520000,Industrials,Farm & Heavy<br>Construction Machinery
FRO,FERRO,21242000,Industrials,Building Products<br>& Equipment
FER,FERRUM,6440000,Basic Materials,Steel
FON,FON,1183000,Financial Services,Asset Management
FTE,FORTE,13586000,Consumer Cyclical,"Furnishings, Fixtures<br>& Appliances"
GOP,GAMEOPS,1212000,Communication Services,Electronic Gaming & Multimedia
GIF,GAMFACTOR,2438000,Communication Services,Electronic Gaming & Multimedia
GMT,GENOMTEC,7889000,Healthcare,Medical<br>Devices
GTN,GETIN,85457000,Financial Services,Banks—Regional
GIG,GIGROUP,7998000,Industrials,Staffing & Employment<br>Services
GPW,GPW,27199000,Financial Services,Financial Data<br>Stock Exchanges
GRX,GREENX,116200000,Basic Materials,Copper
GEA,GRENEVIA,283948000,Industrials,Farm & Heavy<br>Construction Machinery
GRN,GRODNO,5269000,Technology,Electronics<br>& Computer Distribution
ATT,GRUPAAZOTY,46803000,Basic Materials,Agricultural Inputs
GPP,GRUPRACUJ,18012000,Industrials,Staffing & Employment<br>Services
GTC,GTC,214726000,Real Estate,Services
BHW,HANDLOWY,32664000,Financial Services,Banks—Regional
HRP,HARPER,2164000,Consumer Defensive,Household & Personal Products
HEL,HELIO,934000,Consumer Defensive,Packaged Foods
HUG,HUUUGE,42854000,Communication Services,Electronic Gaming & Multimedia
HDR,HYDROTOR,1483000,Consumer Cyclical,Auto Parts
IBS,IBSM,122000,Real Estate,Services
IFI,IFIRMA,2965000,Technology,Information Technology<br>Services
IIA,IIAAV,49000,Real Estate,Diversified
IMC,IMCOMPANY,6496000,Consumer Defensive,Farm Products
GKI,IMMOBILE,14346000,Financial Services,Asset Management
IMP,IMPERIO,3922000,Financial Services,Asset Management
IMS,IMS,14539000,Communication Services,Advertising Agencies
INC,INC,7593000,Financial Services,Capital Markets
ING,INGBSK,32525000,Financial Services,Banks—Regional
INP,INPRO,12110000,Real Estate,Development
INK,INSTALKRK,3897000,Industrials,Engineering & Construction
CAR,INTERCARS,9164000,Consumer Cyclical,Auto Parts
IPO,INTERSPPL,10636000,Consumer Cyclical,Specialty Retail
INL,INTROL,4827000,Technology,Scientific & Technical<br>Instruments
IPE,IPOPEMA,15344000,Financial Services,Capital Markets
IZS,IZOSTAL,13005000,Basic Materials,Steel
JSW,JSW,52636000,Basic Materials,Coking Coal
K2H,K2HOLDING,1186000,Technology,Software—Application
KCI,KCI,25541000,Real Estate,Development
KER,KERNEL,21808000,Consumer Defensive,Food Distribution
KTY,KETY,9650000,Basic Materials,Aluminum
KGH,KGHM,136410000,Basic Materials,Copper
KPL,KINOPOL,6739000,Communication Services,Broadcasting
KGN,KOGENERA,6247000,Utilities,Regulated Electric
KMP,KOMPAP,862000,Basic Materials,Paper<br>& Paper Products
KOM,KOMPUTRON,4170000,Technology,Electronics<br>& Computer Distribution
KPD,KPPD,182000,Basic Materials,Lumber & Wood Production
KRK,KRKA,345000,Healthcare,Drug Manufacturers<br>Specialty & Generic
KRU,KRUK,17551000,Financial Services,Credit Services
KVT,KRVITAMIN,1672000,Consumer Defensive,Beverages—Non-Alcoholic
KSG,KSGAGRO,6282000,Consumer Defensive,Farm Products
LRQ,LARQ,6212000,Communication Services,Advertising Agencies
LEN,LENA,10019000,Industrials,Electrical Equipment<br>& Parts
LTX,LENTEX,10372000,Industrials,Building Products<br>& Equipment
LES,LESS,11577000,Consumer Cyclical,Auto Parts
LBT,LIBET,17683000,Industrials,Building Products<br>& Equipment
LVC,LIVECHAT,15015000,Technology,Software—Application
LKD,LOKUM,2198000,Real Estate,Development
LPP,LPP,1048000,Consumer Cyclical,Apparel Manufacturing
LSI,LSISOFT,1824000,Technology,Software—Application
LBW,LUBAWA,73303000,Industrials,Aerospace<br>& Defense
MAB,MABION,10295000,Healthcare,Biotechnology
MAK,MAKARONPL,2974000,Consumer Defensive,Packaged Foods
MGT,MANGATA,2270000,Industrials,Tools<br>& Accessories
MVP,MARVIPOL,12061000,Real Estate,Development
MXC,MAXCOM,778000,Technology,Communication Equipment
MBK,MBANK,13080000,Financial Services,Banks—Regional
MBW,MBWS,114000,Consumer Defensive,Beverages—Wineries & Distilleries
MCI,MCI,11394000,Financial Services,Asset Management
MDI,MDIENERGIA,7246000,Utilities,Independent<br>Power Producers
MDG,MEDICALG,4976000,Healthcare,Medical<br>Devices
ICE,MEDINICE,3865000,Healthcare,Medical<br>Devices
MNC,MENNICA,22585000,Industrials,Metal<br>Fabrication
MRC,MERCATOR,3559000,Healthcare,Medical Instruments<br>& Supplies
MCR,MERCOR,6501000,Industrials,Security & Protection Services
MEX,MEXPOLSKA,3221000,Consumer Cyclical,Restaurants
MFO,MFO,2506000,Industrials,Metal<br>Fabrication
MLK,MILKILAND,6694000,Consumer Defensive,Packaged Foods
MIL,MILLENNIUM,605345000,Financial Services,Banks—Regional
MIR,MIRACULUM,19129000,Consumer Defensive,Household & Personal Products
MRB,MIRBUD,50144000,Industrials,Engineering & Construction
MLG,MLPGROUP,8964000,Real Estate,Services
MLS,MLSYSTEM,2467000,Technology,Solar
MBR,MOBRUK,2810000,Industrials,Waste Management
MOJ,MOJ,2690000,Industrials,Specialty<br>Industrial Machinery
MOL,MOL,27535000,Energy,Oil & Gas Integrated
MOC,MOLECURE,8757000,Healthcare,Biotechnology
MON,MONNARI,13010000,Consumer Cyclical,Apparel Manufacturing
MSP,MOSTALPLC,1026000,Industrials,Engineering & Construction
MSW,MOSTALWAR,7573000,Industrials,Engineering & Construction
MSZ,MOSTALZAB,43818000,Industrials,Engineering & Construction
MOV,MOVIEGAMES,1989000,Communication Services,Electronic Gaming & Multimedia
MZA,MUZA,1183000,Communication Services,Publishing
NNG,NANOGROUP,12319000,Healthcare,Biotechnology
NEU,NEUCA,1568000,Healthcare,Pharmaceutical<br>Retailers
NWG,NEWAG,20619000,Industrials,Specialty<br>Industrial Machinery
NXG,NEXITY,2303000,Technology,Software—Application
NTU,NOVATURAS,47000,Consumer Cyclical,Travel<br<Services
NVG,NOVAVISGR,7103000,Financial Services,Capital Markets
NTC,NTCAPITAL,8794000,Financial Services,Capital Markets
NTT,NTTSYSTEM,4464000,Technology,Computer Hardware
ODL,ODLEWNIE,7600000,Industrials,Metal<br>Fabrication
OEX,OEX,1190000,Communication Services,Telecom Services
OND,ONDE,17909000,Industrials,Engineering & Construction
ONO,ONESANO,32235000,Basic Materials,Chemicals
OPN,OPONEO.PL,8249000,Consumer Cyclical,Auto Parts
OPM,OPTEAM,1817000,Technology,Information Technology<br>Services
OPL,ORANGEPL,647357000,Communication Services,Telecom Services
OTS,OTLOG,4009000,Industrials,Integrated Freight<br>& Logistics
OTM,OTMUCHOW,10007000,Consumer Defensive,Packaged Foods
OVO,OVOSTAR,1378000,Consumer Defensive,Farm Products
PMP,PAMAPOL,5042000,Consumer Defensive,Packaged Foods
NVA,PANOVA,5196000,Industrials,Engineering & Construction
PAS,PASSUS,589000,Technology,Information Technology<br>Services
PAT,PATENTUS,5959000,Industrials,Farm & Heavy<br>Construction Machinery
PCR,PCCROKITA,3124000,Basic Materials,Chemicals
PCF,PCFGROUP,8912000,Communication Services,Electronic Gaming & Multimedia
PBX,PEKABEX,9364000,Industrials,Engineering & Construction
PEO,PEKAO,176379000,Financial Services,Banks—Regional
PEP,PEP,16867000,Utilities,Independent<br>Power Producers
PCO,PEPCO,159405000,Consumer Defensive,Discount Stores
PPS,PEPEES,24187000,Consumer Defensive,Packaged Foods
PGE,PGE,859413000,Utilities,Regulated Electric
PHR,PHARMENA,3308000,Healthcare,Biotechnology
PHN,PHN,14374000,Real Estate,Services
PEN,PHOTON,19409000,Technology,Solar
PJP,PJPMAKRUM,2050000,Industrials,Engineering & Construction
PKN,PKNORLEN,539862000,Energy,Oil & Gas Integrated
PKO,PKOBP,857593000,Financial Services,Banks—Regional
PKP,PKPCARGO,30002000,Industrials,Integrated Freight<br>& Logistics
PLW,PLAYWAY,1200000,Communication Services,Electronic Gaming & Multimedia
PLZ,PLAZACNTR,2900000,Real Estate,Development
PGM,PMPG,2773000,Communication Services,Publishing
PCE,POLICE,20551000,Basic Materials,Agricultural Inputs
PXM,POLIMEXMS,85118000,Industrials,Engineering & Construction
PTG,POLTREG,2131000,Healthcare,Biotechnology
PWX,POLWAX,15534000,Basic Materials,Specialty<br>Chemicals
PRI,PRAGMAINK,1679000,Financial Services,Credit Services
PRM,PROCHEM,1005000,Industrials,Engineering & Construction
PRT,PROTEKTOR,6167000,Consumer Cyclical,Footwear & Accessories
PUR,PURE,2704000,Healthcare,Biotechnology
PZU,PZU,568305000,Financial Services,Insurance—Property & Casualty
QRS,QUERCUS,28084000,Financial Services,Asset Management
RAE,RAEN,20311000,Utilities,Renewable
RBW,RAINBOW,8122000,Consumer Cyclical,Travel<br<Services
RNK,RANKPROGR,20932000,Real Estate,Diversified
RWL,RAWLPLUG,11916000,Industrials,Tools<br>& Accessories
RLP,RELPOL,5398000,Industrials,Electrical Equipment<br>& Parts
RMK,REMAK,1252000,Industrials,Specialty<br>Industrial Machinery
RES,RESBUD,10451000,Industrials,Engineering & Construction
RPC,ROPCZYCE,1165000,Basic Materials,Building Materials
RVU,RYVU,14939000,Healthcare,Biotechnology
SNK,SANOK,23914000,Consumer Cyclical,Auto Parts
SPL,SANPL,33308000,Financial Services,Banks—Regional
SAN,SANTANDER,1124000,Financial Services,Banks—Diversified
