company,ISIN,yf_ticker,sector,industry
PKOBP,PLPKO0000016,PKO.WA,Financial Services,Banks - Regional
PKNORLEN,PLPKN0000018,PKN.WA,Energy,Oil & Gas Integrated
PZU,PLPZU0000011,PZU.WA,Financial Services,Insurance - Property & Casualty
PEKAO,PLPEKAO00016,PEO.WA,Financial Services,Banks - Regional
ALLEGRO,LU2237380790,ALE.WA,Consumer Cyclical,Internet Retail
LPP,PLLPP0000011,LPP.WA,Consumer Cyclical,Apparel Manufacturing
KGHM,PLKGHM000017,KGH.WA,Basic Materials,Copper
DINOPL,PLDINPL00011,DNP.WA,Consumer Defensive,Grocery Stores
SANPL,PLBZ00000044,SPL.WA,Financial Services,Banks - Regional
CDPROJEKT,PLOPTTC00011,CDR.WA,Communication Services,Electronic Gaming & Multimedia
INGBSK,PLBSK0000017,ING.WA,Financial Services,Banks - Regional
ALIOR,PLALIOR00045,ALR.WA,Financial Services,Banks - Diversified
BUDIMEX,PLBUDMX00013,BDX.WA,Industrials,Engineering & Construction
KETY,PLKETY000011,KTY.WA,Basic Materials,Aluminum
KRUK,PLKRK0000010,KRU.WA,Financial Services,Credit Services
MBANK,PLBRE0000012,MBK.WA,Financial Services,Banks - Regional
BENEFIT,PLBNFTS00018,BFT.WA,Consumer Cyclical,Leisure
PGE,PLPGER000010,PGE.WA,Utilities,Utilities - Regulated Electric
CCC,PLCCC0000016,CCC.WA,Consumer Cyclical,Apparel Retail
MILLENNIUM,PLBIG0000016,MIL.WA,Financial Services,Banks - Regional
ORANGEPL,PLTLKPL00017,OPL.WA,Communication Services,Telecom Services
INTERCARS,PLINTCS00010,CAR.WA,Consumer Cyclical,Auto Parts
ASSECOPOL,PLSOFTB00016,ACP.WA,Technology,Software - Application
TAURONPE,PLTAURN00011,TPE.WA,Utilities,Utilities - Renewable
XTB,PLXTRDM00011,XTB.WA,Financial Services,Capital Markets
PEPCO,NL0015000AU7,PCO.WA,Consumer Defensive,Discount Stores
HANDLOWY,PLBH00000012,BHW.WA,Financial Services,Banks - Regional
CYFRPLSAT,PLCFRPT00013,CPS.WA,Communication Services,Entertainment
BNPPPL,PLBGZ0000010,BNP.WA,Financial Services,Banks - Regional
DEVELIA,PLLCCRP00017,DVL.WA,Real Estate,Real Estate - Development
ENEA,PLENEA000013,ENA.WA,Utilities,Utilities - Regulated Electric
WIRTUALNA,PLWRTPL00027,WPL.WA,Technology,Software - Infrastructure
DOMDEV,PLDMDVL00012,DOM.WA,Real Estate,Real Estate - Development
AUTOPARTN,PLATPRT00018,APR.WA,Consumer Cyclical,Auto Parts
JSW,PLJSW0000015,JSW.WA,Basic Materials,Coking Coal
NEUCA,PLTRFRM00018,NEU.WA,Healthcare,Medical Distribution
AMREST,ES0105375002,EAT.WA,Consumer Cyclical,Restaurants
